Regione;Età;Totale Maschi;Totale Femmine
Emilia-Romagna;0;15339;14555
Emilia-Romagna;1;15787;15213
Emilia-Romagna;2;17041;15853
Emilia-Romagna;3;17572;16330
Emilia-Romagna;4;18173;17261
Emilia-Romagna;5;18821;17778
Emilia-Romagna;6;19230;18206
Emilia-Romagna;7;19643;18788
Emilia-Romagna;8;20514;19119
Emilia-Romagna;9;20762;19701
Emilia-Romagna;10;21568;20183
Emilia-Romagna;11;21803;20669
Emilia-Romagna;12;21784;20447
Emilia-Romagna;13;21725;20215
Emilia-Romagna;14;21473;20076
Emilia-Romagna;15;21144;19816
Emilia-Romagna;16;20920;19680
Emilia-Romagna;17;20564;19089
Emilia-Romagna;18;20827;19195
Emilia-Romagna;19;20981;19293
Emilia-Romagna;20;21695;19527
Emilia-Romagna;21;21282;19259
Emilia-Romagna;22;21921;18942
Emilia-Romagna;23;21617;19428
Emilia-Romagna;24;21347;19591
Emilia-Romagna;25;21487;19497
Emilia-Romagna;26;21743;20174
Emilia-Romagna;27;22094;20474
Emilia-Romagna;28;23013;21891
Emilia-Romagna;29;23300;22193
Emilia-Romagna;30;23857;22960
Emilia-Romagna;31;23603;23071
Emilia-Romagna;32;24028;23297
Emilia-Romagna;33;23739;23546
Emilia-Romagna;34;23897;23949
Emilia-Romagna;35;24756;24809
Emilia-Romagna;36;25470;25297
